Entry	Entry name	Status	Protein names	Organism	Length	Gene symbol	Alias Genes
Q5W0Z9	ZDH20_HUMAN	reviewed	Palmitoyltransferase ZDHHC20 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 20) (DHHC-20)	Homo sapiens (Human)	365	ZDHHC20	NA
Q92558	WASF1_HUMAN	reviewed	Wiskott-Aldrich syndrome protein family member 1 (WASP family protein member 1) (Protein WAVE-1) (Verprolin homology domain-containing protein 1)	Homo sapiens (Human)	559	WASF1	KIAA0269;SCAR1;WAVE1
Q6ICG8	WBP2L_HUMAN	reviewed	Postacrosomal sheath WW domain-binding protein (WW domain-binding protein 2-like)	Homo sapiens (Human)	309	WBP2NL	PAWP
Q8IX01	SUGP2_HUMAN	reviewed	SURP and G-patch domain-containing protein 2 (Arginine/serine-rich-splicing factor 14) (Splicing factor, arginine/serine-rich 14)	Homo sapiens (Human)	1082	SUGP2	KIAA0365;SFRS14
P35625	TIMP3_HUMAN	reviewed	Metalloproteinase inhibitor 3 (Protein MIG-5) (Tissue inhibitor of metalloproteinases 3) (TIMP-3)	Homo sapiens (Human)	211	TIMP3	NA
Q96CP7	TLCD1_HUMAN	reviewed	TLC domain-containing protein 1 (Calfacilitin)	Homo sapiens (Human)	247	TLCD1	NA
Q9Y5J9	TIM8B_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim8 B (DDP-like protein) (Deafness dystonia protein 2)	Homo sapiens (Human)	83	TIMM8B	DDP2;DDPL;TIM8B
Q8NHU6	TDRD7_HUMAN	reviewed	Tudor domain-containing protein 7 (PCTAIRE2-binding protein) (Tudor repeat associator with PCTAIRE-2) (Trap)	Homo sapiens (Human)	1098	TDRD7	PCTAIRE2BP
A8MWL7	TM14D_HUMAN	reviewed	Transmembrane protein 14DP	Homo sapiens (Human)	114	TMEM14DP	TMEM14D
Q9NPI0	TM138_HUMAN	reviewed	Transmembrane protein 138	Homo sapiens (Human)	162	TMEM138	HSPC196;HSPC198
Q7Z5S9	TM144_HUMAN	reviewed	Transmembrane protein 144	Homo sapiens (Human)	345	TMEM144	NA
P68036	UB2L3_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3)	Homo sapiens (Human)	154	UBE2L3	UBCE7;UBCH7
A6NHS1	YK042_HUMAN	reviewed	Putative uncharacterized protein ENSP00000347057	Homo sapiens (Human)	94	NA	NA
P0CI00	Z705B_HUMAN	reviewed	Putative zinc finger protein 705B	Homo sapiens (Human)	300	ZNF705B	NA
Q9UHD9	UBQL2_HUMAN	reviewed	Ubiquilin-2 (Chap1) (DSK2 homolog) (Protein linking IAP with cytoskeleton 2) (PLIC-2) (hPLIC-2) (Ubiquitin-like product Chap1/Dsk2)	Homo sapiens (Human)	624	UBQLN2	N4BP4;PLIC2;HRIHFB2157
Q8NHM4	TRY6_HUMAN	reviewed	Putative trypsin-6 (EC 3.4.21.4) (Serine protease 3 pseudogene 2) (Trypsinogen C)	Homo sapiens (Human)	247	PRSS3P2	T6;TRY6
Q14119	VEZF1_HUMAN	reviewed	Vascular endothelial zinc finger 1 (Putative transcription factor DB1) (Zinc finger protein 161)	Homo sapiens (Human)	521	VEZF1	DB1;ZNF161
Q8TAF3	WDR48_HUMAN	reviewed	WD repeat-containing protein 48 (USP1-associated factor 1) (WD repeat endosomal protein) (p80)	Homo sapiens (Human)	677	WDR48	KIAA1449;UAF1
O43379	WDR62_HUMAN	reviewed	WD repeat-containing protein 62	Homo sapiens (Human)	1518	WDR62	C19orf14
Q96FK6	WDR89_HUMAN	reviewed	WD repeat-containing protein 89	Homo sapiens (Human)	387	WDR89	C14orf150;MSTP050
Q8IWA0	WDR75_HUMAN	reviewed	WD repeat-containing protein 75 (U3 small nucleolar RNA-associated protein 17 homolog)	Homo sapiens (Human)	830	WDR75	UTP17
Q13360	ZN177_HUMAN	reviewed	Zinc finger protein 177	Homo sapiens (Human)	481	ZNF177	NA
Q9NW82	WDR70_HUMAN	reviewed	WD repeat-containing protein 70	Homo sapiens (Human)	654	WDR70	NA
Q9BRX9	WDR83_HUMAN	reviewed	WD repeat domain-containing protein 83 (Mitogen-activated protein kinase organizer 1) (MAPK organizer 1)	Homo sapiens (Human)	315	WDR83	MORG1
B1ANS9	WDR64_HUMAN	reviewed	WD repeat-containing protein 64	Homo sapiens (Human)	1081	WDR64	NA
Q96JL9	ZN333_HUMAN	reviewed	Zinc finger protein 333	Homo sapiens (Human)	665	ZNF333	KIAA1806
Q8N9F8	ZN454_HUMAN	reviewed	Zinc finger protein 454	Homo sapiens (Human)	522	ZNF454	NA
Q96JC4	ZN479_HUMAN	reviewed	Zinc finger protein 479 (Zinc finger protein Kr19) (HKr19)	Homo sapiens (Human)	524	ZNF479	NA
Q8TF20	ZN721_HUMAN	reviewed	Zinc finger protein 721	Homo sapiens (Human)	911	ZNF721	KIAA1982
P30536	TSPO_HUMAN	reviewed	Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR)	Homo sapiens (Human)	169	TSPO	BZRP;MBR
Q9Y6M5	ZNT1_HUMAN	reviewed	Zinc transporter 1 (ZnT-1) (Solute carrier family 30 member 1)	Homo sapiens (Human)	507	SLC30A1	ZNT1
Q8N184	ZN567_HUMAN	reviewed	Zinc finger protein 567	Homo sapiens (Human)	647	ZNF567	NA
Q6UXI7	VITRN_HUMAN	reviewed	Vitrin	Homo sapiens (Human)	678	VIT	UNQ647/PRO1277
Q6SA08	TSSK4_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 4 (TSK-4) (TSSK-4) (Testis-specific kinase 4) (EC 2.7.11.1) (Serine/threonine-protein kinase 22E)	Homo sapiens (Human)	328	TSSK4	C14orf20;STK22E;TSSK5
O43309	ZSC12_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 12 (Zinc finger protein 305) (Zinc finger protein 96)	Homo sapiens (Human)	604	ZSCAN12	KIAA0426;ZNF305;ZNF96
P33981	TTK_HUMAN	reviewed	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)	Homo sapiens (Human)	857	TTK	MPS1;MPS1L1
P02766	TTHY_HUMAN	reviewed	Transthyretin (ATTR) (Prealbumin) (TBPA)	Homo sapiens (Human)	147	TTR	PALB
Q7Z5L0	VMO1_HUMAN	reviewed	Vitelline membrane outer layer protein 1 homolog	Homo sapiens (Human)	202	VMO1	UNQ6350/PRO21055
Q15904	VAS1_HUMAN	reviewed	V-type proton ATPase subunit S1 (V-ATPase subunit S1) (Protein XAP-3) (V-ATPase Ac45 subunit) (V-ATPase S1 accessory protein) (Vacuolar proton pump subunit S1)	Homo sapiens (Human)	470	ATP6AP1	ATP6IP1;ATP6S1;VATPS1;XAP3
O95497	VNN1_HUMAN	reviewed	Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Tiff66) (Vascular non-inflammatory molecule 1) (Vanin-1)	Homo sapiens (Human)	513	VNN1	NA
O75436	VP26A_HUMAN	reviewed	Vacuolar protein sorting-associated protein 26A (Vesicle protein sorting 26A) (hVPS26)	Homo sapiens (Human)	327	VPS26A	VPS26
P27352	IF_HUMAN	reviewed	Cobalamin binding intrinsic factor (Gastric intrinsic factor) (Intrinsic factor) (IF) (INF)	Homo sapiens (Human)	417	CBLIF	GIF;IFMH
Q8WYA0	IFT81_HUMAN	reviewed	Intraflagellar transport protein 81 homolog (Carnitine deficiency-associated protein expressed in ventricle 1) (CDV-1)	Homo sapiens (Human)	676	IFT81	CDV1
Q92628	K0232_HUMAN	reviewed	Uncharacterized protein KIAA0232	Homo sapiens (Human)	1395	KIAA0232	NA
Q9BV36	MELPH_HUMAN	reviewed	Melanophilin (Exophilin-3) (Slp homolog lacking C2 domains a) (SlaC2-a) (Synaptotagmin-like protein 2a)	Homo sapiens (Human)	600	MLPH	SLAC2A
Q96JB3	HIC2_HUMAN	reviewed	Hypermethylated in cancer 2 protein (Hic-2) (HIC1-related gene on chromosome 22 protein) (Hic-3) (Zinc finger and BTB domain-containing protein 30)	Homo sapiens (Human)	615	HIC2	HRG22;KIAA1020;ZBTB30
Q5VVH5	IKBP1_HUMAN	reviewed	Interleukin-1 receptor-associated kinase 1-binding protein 1 (IRAK1-binding protein 1)	Homo sapiens (Human)	260	IRAK1BP1	NA
Q9Y3D8	KAD6_HUMAN	reviewed	Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	Homo sapiens (Human)	172	AK6	CINAP;AD-004;CGI-137
P09211	GSTP1_HUMAN	reviewed	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	Homo sapiens (Human)	210	GSTP1	FAEES3;GST3
A4D1E9	GTPBA_HUMAN	reviewed	GTP-binding protein 10 (Protein obg homolog 2) (ObgH2)	Homo sapiens (Human)	387	GTPBP10	OBGH2;UG0751c10
Q8NDC0	MISSL_HUMAN	reviewed	MAPK-interacting and spindle-stabilizing protein-like (Mitogen-activated protein kinase 1-interacting protein 1-like)	Homo sapiens (Human)	245	MAPK1IP1L	C14orf32
Q8NB16	MLKL_HUMAN	reviewed	Mixed lineage kinase domain-like protein (hMLKL)	Homo sapiens (Human)	471	MLKL	NA
Q02846	GUC2D_HUMAN	reviewed	Retinal guanylyl cyclase 1 (RETGC-1) (EC 4.6.1.2) (CG-E) (Guanylate cyclase 2D, retinal) (Rod outer segment membrane guanylate cyclase) (ROS-GC)	Homo sapiens (Human)	1103	GUCY2D	CORD6;GUC1A4;GUC2D;RETGC;RETGC1
A0A0A0MRZ9	LV552_HUMAN	reviewed	Immunoglobulin lambda variable 5-52	Homo sapiens (Human)	124	IGLV5-52	NA
Q96PU9	ODF3A_HUMAN	reviewed	Outer dense fiber protein 3 (Outer dense fiber of sperm tails protein 3) (Sperm tail protein SHIPPO 1) (Transcript induced in spermiogenesis protein 50)	Homo sapiens (Human)	254	ODF3	SHIPPO1;TISP50
Q9Y5U9	IR3IP_HUMAN	reviewed	Immediate early response 3-interacting protein 1	Homo sapiens (Human)	82	IER3IP1	HSPC039
P01705	LV223_HUMAN	reviewed	Immunoglobulin lambda variable 2-23 (Ig lambda chain V-II region NEI)	Homo sapiens (Human)	113	IGLV2-23	NA
Q9Y573	IPP_HUMAN	reviewed	Actin-binding protein IPP (Intracisternal A particle-promoted polypeptide) (IPP) (Kelch-like protein 27)	Homo sapiens (Human)	584	IPP	KLHL27
Q6UWN0	LYPD4_HUMAN	reviewed	Ly6/PLAUR domain-containing protein 4	Homo sapiens (Human)	246	LYPD4	UNQ2552/PRO6181
Q6UWN5	LYPD5_HUMAN	reviewed	Ly6/PLAUR domain-containing protein 5	Homo sapiens (Human)	251	LYPD5	UNQ1908/PRO4356
Q9Y616	IRAK3_HUMAN	reviewed	Interleukin-1 receptor-associated kinase 3 (IRAK-3) (EC 2.7.11.1) (IL-1 receptor-associated kinase M) (IRAK-M)	Homo sapiens (Human)	596	IRAK3	NA
Q9NVD7	PARVA_HUMAN	reviewed	Alpha-parvin (Actopaxin) (CH-ILKBP) (Calponin-like integrin-linked kinase-binding protein) (Matrix-remodeling-associated protein 2)	Homo sapiens (Human)	372	PARVA	MXRA2
Q9GZP0	PDGFD_HUMAN	reviewed	Platelet-derived growth factor D (PDGF-D) (Iris-expressed growth factor) (Spinal cord-derived growth factor B) (SCDGF-B) [Cleaved into: Platelet-derived growth factor D, latent form (PDGFD latent form); Platelet-derived growth factor D, receptor-binding form (PDGFD receptor-binding form)]	Homo sapiens (Human)	370	PDGFD	IEGF;SCDGFB;MSTP036;UNQ1899/PRO4345
Q9H720	PG2IP_HUMAN	reviewed	PGAP2-interacting protein (Cell wall biogenesis protein 43 C-terminal homolog)	Homo sapiens (Human)	699	CWH43	PGAP2IP
Q7RTR2	NLRC3_HUMAN	reviewed	NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)	Homo sapiens (Human)	1065	NLRC3	NOD3
Q15121	PEA15_HUMAN	reviewed	Astrocytic phosphoprotein PEA-15 (15 kDa phosphoprotein enriched in astrocytes) (Phosphoprotein enriched in diabetes) (PED)	Homo sapiens (Human)	130	PEA15	NA
Q0GE19	NTCP7_HUMAN	reviewed	Sodium/bile acid cotransporter 7 (Na(+)/bile acid cotransporter 7) (Solute carrier family 10 member 7)	Homo sapiens (Human)	340	SLC10A7	C4orf13;P7;PSEC0051
O15375	MOT6_HUMAN	reviewed	Monocarboxylate transporter 6 (MCT 6) (Monocarboxylate transporter 5) (MCT 5) (Solute carrier family 16 member 5)	Homo sapiens (Human)	505	SLC16A5	MCT5;MCT6
O95255	MRP6_HUMAN	reviewed	Multidrug resistance-associated protein 6 (ATP-binding cassette sub-family C member 6) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E)	Homo sapiens (Human)	1503	ABCC6	ARA;MRP6
Q9NRJ1	MOST1_HUMAN	reviewed	Protein MOST-1	Homo sapiens (Human)	99	C8orf17	NA
Q9NQ66	PLCB1_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 (EC 3.1.4.11) (PLC-154) (Phosphoinositide phospholipase C-beta-1) (Phospholipase C-I) (PLC-I) (Phospholipase C-beta-1) (PLC-beta-1)	Homo sapiens (Human)	1216	PLCB1	KIAA0581
Q9NSI8	SAMN1_HUMAN	reviewed	SAM domain-containing protein SAMSN-1 (Hematopoietic adaptor containing SH3 and SAM domains 1) (Nash1) (SAM domain, SH3 domain and nuclear localization signals protein 1) (SH3-SAM adaptor protein)	Homo sapiens (Human)	373	SAMSN1	HACS1
Q9P270	SLAI2_HUMAN	reviewed	SLAIN motif-containing protein 2	Homo sapiens (Human)	581	SLAIN2	KIAA1458
Q9P0V8	SLAF8_HUMAN	reviewed	SLAM family member 8 (B-lymphocyte activator macrophage expressed) (BCM-like membrane protein) (CD antigen CD353)	Homo sapiens (Human)	285	SLAMF8	BLAME
Q16563	SYPL1_HUMAN	reviewed	Synaptophysin-like protein 1 (Pantophysin)	Homo sapiens (Human)	259	SYPL1	SYPL
Q12888	TP53B_HUMAN	reviewed	TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1)	Homo sapiens (Human)	1972	TP53BP1	NA
Q9Y6J9	TAF6L_HUMAN	reviewed	TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L (TAF6L) (PCAF-associated factor 65-alpha) (PAF65-alpha)	Homo sapiens (Human)	622	TAF6L	PAF65A
Q9NXL6	SIDT1_HUMAN	reviewed	SID1 transmembrane family member 1	Homo sapiens (Human)	827	SIDT1	NA
Q15437	SC23B_HUMAN	reviewed	Protein transport protein Sec23B (hSec23B) (SEC23-related protein B)	Homo sapiens (Human)	767	SEC23B	NA
Q8IY34	S15A3_HUMAN	reviewed	Solute carrier family 15 member 3 (Osteoclast transporter) (Peptide transporter 3) (Peptide/histidine transporter 2)	Homo sapiens (Human)	581	SLC15A3	OCTP;PHT2;PTR3
Q9NSA0	S22AB_HUMAN	reviewed	Solute carrier family 22 member 11 (Organic anion transporter 4)	Homo sapiens (Human)	550	SLC22A11	OAT4
A0AV02	S12A8_HUMAN	reviewed	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)	Homo sapiens (Human)	714	SLC12A8	CCC9
Q8TEV9	SMCR8_HUMAN	reviewed	Guanine nucleotide exchange protein SMCR8 (Smith-Magenis syndrome chromosomal region candidate gene 8 protein)	Homo sapiens (Human)	937	SMCR8	NA
Q9NY15	STAB1_HUMAN	reviewed	Stabilin-1 (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 1) (FEEL-1) (MS-1 antigen)	Homo sapiens (Human)	2570	STAB1	FEEL1;KIAA0246
A6NFE2	SMCO2_HUMAN	reviewed	Single-pass membrane and coiled-coil domain-containing protein 2	Homo sapiens (Human)	343	SMCO2	C12orf70
P48775	T23O_HUMAN	reviewed	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	Homo sapiens (Human)	406	TDO2	TDO
P29084	T2EB_HUMAN	reviewed	Transcription initiation factor IIE subunit beta (TFIIE-beta) (General transcription factor IIE subunit 2)	Homo sapiens (Human)	291	GTF2E2	TF2E2
Q96I99	SUCB2_HUMAN	reviewed	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial (EC 6.2.1.4) (GTP-specific succinyl-CoA synthetase subunit beta) (G-SCS) (GTPSCS) (Succinyl-CoA synthetase beta-G chain) (SCS-betaG)	Homo sapiens (Human)	432	SUCLG2	NA
Q6ZNK6	TIFAB_HUMAN	reviewed	TRAF-interacting protein with FHA domain-containing protein B (TIFA-like protein)	Homo sapiens (Human)	161	TIFAB	NA
Q9NYW3	TA2R7_HUMAN	reviewed	Taste receptor type 2 member 7 (T2R7) (Taste receptor family B member 4) (TRB4)	Homo sapiens (Human)	318	TAS2R7	NA
Q9NUY8	TBC23_HUMAN	reviewed	TBC1 domain family member 23 (HCV non-structural protein 4A-transactivated protein 1)	Homo sapiens (Human)	699	TBC1D23	NS4ATP1
Q9UBN4	TRPC4_HUMAN	reviewed	Short transient receptor potential channel 4 (TrpC4) (Trp-related protein 4) (hTrp-4) (hTrp4)	Homo sapiens (Human)	977	TRPC4	NA
Q9UJT1	TBD_HUMAN	reviewed	Tubulin delta chain (Delta-tubulin)	Homo sapiens (Human)	453	TUBD1	TUBD
A7MCY6	TBKB1_HUMAN	reviewed	TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1)	Homo sapiens (Human)	615	TBKBP1	KIAA0775;SINTBAD
O60907	TBL1X_HUMAN	reviewed	F-box-like/WD repeat-containing protein TBL1X (SMAP55) (Transducin beta-like protein 1X) (Transducin-beta-like protein 1, X-linked)	Homo sapiens (Human)	577	TBL1X	TBL1
Q3YBR2	TBRG1_HUMAN	reviewed	Transforming growth factor beta regulator 1 (Nuclear interactor of ARF and Mdm2)	Homo sapiens (Human)	411	TBRG1	NIAM
A6NFA1	TIKI2_HUMAN	reviewed	Metalloprotease TIKI2 (EC 3.4.-.-) (Heart, kidney and adipose-enriched transmembrane protein homolog) (TRAB domain-containing protein 2B)	Homo sapiens (Human)	517	TRABD2B	HKAT;TIKI2
Q86V40	TIKI1_HUMAN	reviewed	Metalloprotease TIKI1 (EC 3.4.-.-) (TRAB domain-containing protein 2A)	Homo sapiens (Human)	505	TRABD2A	C2orf89;TIKI1
O15178	TBXT_HUMAN	reviewed	T-box transcription factor T (Brachyury protein) (Protein T)	Homo sapiens (Human)	435	TBXT	T
Q96B02	UBE2W_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 W (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme W) (N-terminal E2 ubiquitin-conjugating enzyme) (EC 2.3.2.25) (N-terminus-conjugating E2) (Ubiquitin carrier protein W) (Ubiquitin-conjugating enzyme 16) (UBC-16) (Ubiquitin-protein ligase W)	Homo sapiens (Human)	151	UBE2W	UBC16
Q5VVX9	UBE2U_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 U (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme U) (Ubiquitin carrier protein U) (Ubiquitin-protein ligase U)	Homo sapiens (Human)	321	UBE2U	NA
Q14139	UBE4A_HUMAN	reviewed	Ubiquitin conjugation factor E4 A (EC 2.3.2.27) (RING-type E3 ubiquitin transferase E4 A)	Homo sapiens (Human)	1066	UBE4A	KIAA0126
Q8NHY6	ZFP28_HUMAN	reviewed	Zinc finger protein 28 homolog (Zfp-28) (Krueppel-like zinc finger factor X6)	Homo sapiens (Human)	868	ZFP28	KIAA1431
Q96EF9	ZHX1R_HUMAN	reviewed	Zinc fingers and homeoboxes protein 1, isoform 2 (ZHX1-C8orf76 readthrough transcript protein)	Homo sapiens (Human)	292	ZHX1-C8orf76	C8orf76
Q8TBZ3	WDR20_HUMAN	reviewed	WD repeat-containing protein 20 (Protein DMR)	Homo sapiens (Human)	569	WDR20	NA
O95789	ZMYM6_HUMAN	reviewed	Zinc finger MYM-type protein 6 (Transposon-derived Buster2 transposase-like protein) (Zinc finger protein 258)	Homo sapiens (Human)	1325	ZMYM6	Buster2;KIAA1353;ZNF258
Q9P0L1	ZKSC7_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 7 (Zinc finger protein 167) (Zinc finger protein 448) (Zinc finger protein 64)	Homo sapiens (Human)	754	ZKSCAN7	ZNF167;ZNF448;ZNF64
Q9UJ78	ZMYM5_HUMAN	reviewed	Zinc finger MYM-type protein 5 (Zinc finger protein 198-like 1) (Zinc finger protein 237)	Homo sapiens (Human)	669	ZMYM5	ZNF198L1;ZNF237;HSPC050
Q15973	ZN124_HUMAN	reviewed	Zinc finger protein 124 (Zinc finger protein HZF-16)	Homo sapiens (Human)	351	ZNF124	NA
Q8IWG1	WDR63_HUMAN	reviewed	WD repeat-containing protein 63 (Testis development protein NYD-SP29)	Homo sapiens (Human)	891	WDR63	NA
P52746	ZN142_HUMAN	reviewed	Zinc finger protein 142	Homo sapiens (Human)	1687	ZNF142	KIAA0236
Q86TI4	WDR86_HUMAN	reviewed	WD repeat-containing protein 86	Homo sapiens (Human)	376	WDR86	NA
P35968	VGFR2_HUMAN	reviewed	Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)	Homo sapiens (Human)	1356	KDR	FLK1;VEGFR2
Q9UK12	ZN222_HUMAN	reviewed	Zinc finger protein 222	Homo sapiens (Human)	451	ZNF222	NA
Q96BV0	ZN775_HUMAN	reviewed	Zinc finger protein 775	Homo sapiens (Human)	537	ZNF775	NA
Q8TCV5	WFDC5_HUMAN	reviewed	WAP four-disulfide core domain protein 5 (Putative protease inhibitor WAP1) (p53-responsive gene 5 protein)	Homo sapiens (Human)	224	WFDC5	PRG5;WAP1;UNQ3036/PRO9842
Q7Z4V0	ZN438_HUMAN	reviewed	Zinc finger protein 438	Homo sapiens (Human)	828	ZNF438	NA
Q96JM2	ZN462_HUMAN	reviewed	Zinc finger protein 462 (Zinc finger PBX1-interacting protein) (ZFPIP)	Homo sapiens (Human)	2506	ZNF462	KIAA1803
Q17R98	ZN827_HUMAN	reviewed	Zinc finger protein 827	Homo sapiens (Human)	1081	ZNF827	NA
Q96EG3	ZN837_HUMAN	reviewed	Zinc finger protein 837	Homo sapiens (Human)	531	ZNF837	NA
Q8TF50	ZN526_HUMAN	reviewed	Zinc finger protein 526	Homo sapiens (Human)	670	ZNF526	KIAA1951
Q8TAF7	ZN461_HUMAN	reviewed	Zinc finger protein 461 (Gonadotropin-inducible ovary transcription repressor 1) (GIOT-1)	Homo sapiens (Human)	563	ZNF461	GIOT1
Q53HI1	UNC50_HUMAN	reviewed	Protein unc-50 homolog (Periodontal ligament-specific protein 22) (PDLs22) (Protein GMH1 homolog) (hGMH1) (Uncoordinated-like protein)	Homo sapiens (Human)	259	UNC50	UNCL;HSD-23;HSD23
P15621	ZNF44_HUMAN	reviewed	Zinc finger protein 44 (Gonadotropin-inducible ovary transcription repressor 2) (GIOT-2) (Zinc finger protein 55) (Zinc finger protein 58) (Zinc finger protein KOX7)	Homo sapiens (Human)	663	ZNF44	GIOT2;KOX7;ZNF55;ZNF58
Q8N2I2	ZN619_HUMAN	reviewed	Zinc finger protein 619	Homo sapiens (Human)	560	ZNF619	NA
Q8N9Z0	ZN610_HUMAN	reviewed	Zinc finger protein 610	Homo sapiens (Human)	462	ZNF610	NA
Q9UI38	TSP50_HUMAN	reviewed	Probable threonine protease PRSS50 (EC 3.4.25.-) (Cancer/testis antigen 20) (Serine protease 50) (Testis-specific protease-like protein 50)	Homo sapiens (Human)	385	PRSS50	CT20;TSP50
Q96MU7	YTDC1_HUMAN	reviewed	YTH domain-containing protein 1 (Splicing factor YT521) (YT521-B)	Homo sapiens (Human)	727	YTHDC1	KIAA1966;YT521
Q6PFW1	VIP1_HUMAN	reviewed	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1 (EC 2.7.4.21) (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 1) (Histidine acid phosphatase domain-containing protein 2A) (IP6 kinase) (Inositol pyrophosphate synthase 1) (InsP6 and PP-IP5 kinase 1) (VIP1 homolog) (hsVIP1)	Homo sapiens (Human)	1433	PPIP5K1	HISPPD2A;IP6K;IPS1;KIAA0377;VIP1
Q15649	ZNHI3_HUMAN	reviewed	Zinc finger HIT domain-containing protein 3 (HNF-4a coactivator) (Thyroid hormone receptor interactor 3) (Thyroid receptor-interacting protein 3) (TR-interacting protein 3) (TRIP-3)	Homo sapiens (Human)	155	ZNHIT3	TRIP3
Q6NXR4	TTI2_HUMAN	reviewed	TELO2-interacting protein 2	Homo sapiens (Human)	508	TTI2	C8orf41
P40306	PSB10_HUMAN	reviewed	Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i)	Homo sapiens (Human)	273	PSMB10	LMP10;MECL1
P28065	PSB9_HUMAN	reviewed	Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)	Homo sapiens (Human)	219	PSMB9	LMP2;PSMB6i;RING12
Q9NRZ7	PLCC_HUMAN	reviewed	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 3) (1-AGP acyltransferase 3) (1-AGPAT 3) (Lysophosphatidic acid acyltransferase gamma) (LPAAT-gamma)	Homo sapiens (Human)	376	AGPAT3	LPAAT3;UNQ759/PRO1490
Q8TF01	PNISR_HUMAN	reviewed	Arginine/serine-rich protein PNISR (PNN-interacting serine/arginine-rich protein) (SR-related protein) (SR-rich protein) (Serine/arginine-rich-splicing regulatory protein 130) (SRrp130) (Splicing factor, arginine/serine-rich 130) (Splicing factor, arginine/serine-rich 18)	Homo sapiens (Human)	805	PNISR	C6orf111;SFRS18;SRRP130;HSPC261;HSPC306
P14923	PLAK_HUMAN	reviewed	Junction plakoglobin (Catenin gamma) (Desmoplakin III) (Desmoplakin-3)	Homo sapiens (Human)	745	JUP	CTNNG;DP3
Q63HM9	PLCX3_HUMAN	reviewed	PI-PLC X domain-containing protein 3	Homo sapiens (Human)	321	PLCXD3	NA
Q9UBY0	SL9A2_HUMAN	reviewed	Sodium/hydrogen exchanger 2 (Na(+)/H(+) exchanger 2) (NHE-2) (Solute carrier family 9 member 2)	Homo sapiens (Human)	812	SLC9A2	NHE2
